Wort, reviewFrequency, reviewDate
das Fahrrad,,
falsch,,
die Familie,,
der Familienname,,
der Familienstand,,
die Farbe,,
das Fax,,
Feier,,
feiern,,
fehlen,,
der Fehler,,
fernsehen,,
fertig,,
das Feuer,,
das Fieber,,
der Film,,
finden,,
die Firma,,
der Fisch,,
die Flasche,,
das Fleisch,,
fliegen,,
abfliegen,,
der Abflug,,
der Flughafen,,
das Flugzeug,,
das Formular,,
das Foto,,
fragen,,
die Frage,,
die Frau,,
frei,,
die Freizeit,,
fremd,,
freuen,,
der Freund,,
früher,,
frühstücken,,
das Frühstück,,
die Führung,,
für,,
der Fuß,,
der Fußball,,
der Garten,,
der Gast,,
geben,,
geboren,,
das Geburtsjahr,,
der Geburtsort,,
der Geburtstag,,
gefallen,,
gegen,,
gehen,,
gehören,,
das Geld,,
das Gemüse,,
das Gepäck,,
gerade,,
geradeaus,,
gerne,,
das Geschäft,,
das Geschenk,,
die Geschwister,,
das Gespräch,,
gestern,,
gestorben,,
das Getränk,,
das Gewicht,,
gewinnen,,
das Glas,,
glauben,,
gleich,,
das Gleis,,
das Glück,,
glücklich,,
der Glückwunsch,,
Grad,,
gratulieren,,
grillen,,
groß,,
die Größe,,
die Großeltern,,
die Großmutter,,
der Großvater,,
die Gruppe,,
der Gruß,,
gültig,,
günstig,,
gut,,
das Haar,,
haben,,
das Hähnchen,,
die Halbpension,,
die Halle,,
hallo,,
halten,,
die Haltestelle,,
die Hand,,
das Handy,,
das Haus,,
die Hausaufgabe,,
die Hausfrau,,
der Hausmann,,
die Heimat,,
heiraten,,
heißen,,
helfen,,
hell,,
der Herd,,
der Herr,,
herzlich,,
heute,,
hier,,
die Hilfe,,
hinten,,
das Hobby,,
hoch,,
die Hochzeit,,
holen,,
hören,,
das Hotel,,
der Hund,,
der Hunger,,
ich,,
ihr,,
ihm,,
ihn,,
immer,,
in,,
die Information,,
international,,
das Internet,,
ja,,
die Jacke,,
jedem,,
jetzt,,
der Job,,
der Jugendliche,,
jung,,
der Junge,,
der Kaffee,,
kaputt,,
die Karte,,
Kredit Karte,,
die Kartoffel,,
die Kasse,,
kaufen,,
kein,,
kennen,,
kennenlernen,,
das Kind,,
der Kindergarten,,
das Kino,,
der Kiosk,,
klar,,
die Klasse,,
die Kleidung,,
klein,,
kochen,,
der Koffer,,
der Kollege,,
kommen,,
können,,
das Konto,,
der Kopf,,
kosten,,
krank,,
kriegen,,
die Küche,,
der Kuchen,,
der Kugelschreiber,,
der Kühlschrank,,
kulturell,,
sich kümmern,,
der Kunde,,
der Kurs,,
kurz,,
lachen,,
der Laden,,
das Land,,
er lang,,
lange,,
langsam,,
laufen,,
laut,,
leben,,
das Leben,,
die Lebensmittel,,
ledig,,
legen,,
der Lehrer,,
leicht,,
leider,,
leise,,
lernen,,
lesen,,
letzt,,
die Leute,,
das Licht,,
lieben,,
lieber,,
Lieblings,,
das Lied,,
liegen,,
links,,
der Lkw,,
das Lokal,,
die Lösung,,
lustig,,
machen,,
das Mädchen,,
man,,
der Mann,,
männlich,,
die Maschine,W,2023-09-27
das Meer,,
mehr,,
mein,,
meist,,
der Mensch,,
mieten,,
die Miete,,
die Milch,,
mit,,
mitbringen,,
mitkommen,,
mitmachen,,
mitnehmen,,
die Mitte,,
die Möbel,,
möchten,,
mögen,,
möglich,,
der Moment,,
morgen,,
müde,,
der Mund,W,2023-09-27
müssen,,
die Mutter̈,,
nach,,
nächst,,
der Name,,
nehmen,,
nein,,
neu,,
nicht,,
nichts,,
nie,,
noch,,
normal,,
die Nummer,,
nur,,
oben,,
das Obst,,
oder,,
öffnen,,
geöffnet,,
oft,,
ohne,,
das Öl,,
die Oma,,
der Opa,,
die Ordnung,,
der Ort,W,2023-09-27
das Papier,,
die Papiere,,
der Partner,,
die Partnerin,,
die Party,,
der Pass,,
die Pause,,
der Plan,,
der Platz,,
die Polizei,,
die Pommes frites,,
die Post,,
die Postleitzahl,,
das Praktikum,,
die Praxis,,
der Preis,,
das Problem,,
der Prospekt,,
die Prüfung,,
pünktlich,,
Rad fahren,,
rauchen,,
der Raum,,
die Rechnung,,
rechts,,
regnen,,
der Regen,,
der Reis,,
reisen,,
die Reise,W,2023-09-27
das Reisebüro,,
der Reiseführer,,
reparieren,,
die Reparatur,,
das Restaurant,,
die Rezeption,,
richtig,,
riechen,,
ruhig,,
der Saft,,
sagen,,
der Salat,,
das Salz,,
Satz,,
die S-Bahn,,
der Schalter,,
scheinen,,
schicken,,
das Schild,,
der Schinken,,
schlafen,,
schlecht,,
schließen,,
geschlossen,,
der Schluss,,
der Schlüssel,,
schmecken,,
schnell,,
schon,,
schön,,
der Schrank,W,2023-09-27
schreiben,,
der Schuh,,
die Schule,,
der Schüler,,
schwer,,
die Schwester,,
schwimmen,,
das Schwimmbad,,
der See,,
sehen,,
die Sehenswürdigkeit,,
sehr,,
sein,,
an sein,,
auf sein,,
weg sein,,
zu sein,,
seit,,
selbstständig,,
sich,,
sie,,
Sie,,
sitzen,,
so,,
das Sofa,,
sofort,,
der Sohn,,
sollen,,
die Sonne,,
spät,,
später,,
die Speisekarte,,
spielen,T,2023-09-21
der Sport,,
die Sprache,,
sprechen,,
die Stadt,,
stehen,,
die Stelle,,
stellen,,
der Stock,,
die Straße,,
die Straßenbahn,,
studieren,,
das Studium,,
der Student,,
die Stunde,,
suchen,,
tanzen,,
die Tasche,,
das Taxi,,
der Tee,,
der Teil,,
telefonieren,,
das Telefon,,
der Termin,,
der Test,W,2023-09-27
teuer,,
der Text,,
das Thema,,
das Ticket,,
der Tisch,,
die Tochter,,
die Toilette,,
die Tomate,,
tot,,
treffen,,
die Treppe,,
trinken,,
tschüss,,
tun,,
über,,
übernachten,,
überweisen,,
die Uhr,,
um,,
umziehen,,
und,,
unser,,
unten,,
unter,,
der Unterricht,,
unterschreiben,,
die Unterschrift,,
der Urlaub,,
der Vater,,,
verboten,,
verdienen,,
der Verein,,
verheiratet,,
verkaufen,,
der Verkäufer,,
vermieten,,
der Vermieter,,
verstehen,,
der Verwandte,,
viel,,
vielleicht,,
von,,
vor,,
der Vorname,,
die Vorsicht,,
vorstellen,,
die Vorwahl,,
wandern,,
wann,,
warten,,
warum,,
was,,
waschen,,
das Wasser,,
weh tun,,
weiblich,,
der Wein,,
weit,,
weiter,,
welch,,
die Welt,,
wenig,,
wer,,
werden,,
das Wetter,,
wichtig,,
wie,,
wiederholen,,
das Wiederhören,,
das Wiedersehen,,
wie viel,,
willkommen,,
der Wind,,
wir,,
wissen,,
wo,,
woher,,
wohin,,
wohnen,,
die Wohnung,,
wollen,,
das Wort,,
wunderbar,,
zahlen,,
die Zeit,,
zurzeit,,
die Zeitung,,
die Zigarette,,
das Zimmer,,
der Zoll,,
zu,,
zufrieden,,
der Zug,,
zurück,,
zusammen,,
zwischen,,
